record_id,first_name,last_name,address,telephone,email,dob,age,ethnicity,race,sex,height,weight,bmi,comments,demographics_complete
21,John,Smith,123 Fake St. Providence RI 02895,(401) 888-9956,JohnSmith78@gmail.com,1978-07-08,39,2,4,1,172.96,80,26.7,,2
22,Cory,Cothrum,335 Harrington Ave. Warwick RI 02888,(401) 338-8369,Cory_Cothrum@brown.edu,1992-12-14,25,1,4,1,187.96,99,28,self,1
23,colby,Smith,123 Fake St. Providence RI 02895,(401) 888-9956,JohnSmith78@gmail.com,1978-07-08,39,2,4,1,172.96,80,26.7,,2
24,mark,Cothrum,335 Harrington Ave. Warwick RI 02888,(401) 338-8369,Cory_Cothrum@brown.edu,1992-12-14,25,1,4,1,187.96,99,28,self,1
25,John,Smith,123 Fake St. Providence RI 02895,(401) 888-9956,JohnSmith78@gmail.com,1978-07-08,39,2,4,1,172.96,80,26.7,,2
26,Susan,Johnson,60 Waltham Ln. Brockton MA 01275,(617) 578-4803,S_Johnson231@outlook.com,1956-12-11,61,2,6,0,1,1,10000,Randomly Generated - Demographics,0
27,Erica,King,208 34th Blvd. Newton MA 02144,(617) 897-4168,E_King34@mail.com,1934-05-22,84,1,5,0,1,5,50000,Randomly Generated - Demographics,0
28,Linda,Yang,239 Cumberland Ave. Providence RI 02880,(617) 836-2410,LindaYang@brown.edu,1967-02-08,51,1,2,0,2,6,15000,Randomly Generated - Demographics,0
29,Peter,James,53 Cross St. Boston MA 02260,(401) 420-4044,PJames@ccri.edu,1962-04-08,56,2,1,1,1,1,10000,Randomly Generated - Demographics,0
30,Arthur,Morgan,219 Lake St. Lynn MA 02049,(401) 608-2249,Arthur_Morgan11@msn.com,2011-01-06,7,1,4,1,1,1,10000,Randomly Generated - Demographics,0
31,Tina,Hall,217 Thompson Ln. Springfield MA 01274,(617) 452-9283,THall32@iCloud.com,1932-02-15,86,1,2,0,1,1,10000,Randomly Generated - Demographics,0
32,Linda,Smith,199 Fifth Ave. Bristol RI 02854,(401) 853-1855,Linda_Smith@msn.com,1945-08-02,72,2,5,0,1,8,80000,Randomly Generated - Demographics,0
33,Henry,Wood,19 Pine St. Pawtucket RI 02871,(401) 772-8561,HenryWood@outlook.com,1939-11-15,78,2,5,1,1,9,90000,Randomly Generated - Demographics,0
34,Margaret,Johnson,156 Third Ave. Springfield MA 02054,(508) 478-3732,Margaret_Johnson248@gmail.com,2002-06-26,16,1,4,0,1,9,90000,Randomly Generated - Demographics,0
35,Alexia,Lewis,33 Brockton Rd. Boston MA 01166,(401) 533-7479,AlexiaLewis36@iCloud.com,2014-03-10,4,1,3,0,1,7,70000,Randomly Generated - Demographics,0
36,Cory,Morris,125 Main St. Springfield MA 02215,(401) 609-8455,C_Morris@hotmail.com,1959-01-06,59,1,6,1,1,1,10000,Randomly Generated - Demographics,0
37,Karen,Morgan,71 Evergreen Terrace Blvd. East Greenwich RI 02819,(401) 498-8377,KarenMorgan@yahoo.com,1971-02-07,47,1,5,0,1,9,90000,Randomly Generated - Demographics,0
38,Judith,Lin,174 Warwick Ave. North Providence RI 02855,(401) 210-1915,JudithLin82@brown.edu,1982-11-16,35,1,5,0,2,8,20000,Randomly Generated - Demographics,0
