record_id,first_name,last_name,address,telephone,email,dob,age,ethnicity,race,sex,height,weight,bmi,comments,demographics_complete
12,Theodore,Turner,216 Lin Rd. Quincy MA 02155,(617) 555-5849,Theodore_Turner@brown.edu,1944-12-28,73,2,6,1,80,80,125,Randomly Generated - Demographics,0
13,Anthony,Lee,21 Washington St. Johnston RI 02894,(401) 970-3996,A_Lee@ccri.edu,1986-03-30,32,1,5,1,80,80,125,Randomly Generated - Demographics,0
14,Margaret,Watson,204 Seventh Rd. Providence RI 02829,(508) 290-6733,MargaretWatson87@aol.com,1987-04-04,31,1,6,0,80,80,125,Randomly Generated - Demographics,0
15,Midge,Evans,191 Maple St. Cambridge MA 02033,(508) 253-4003,MidgeEvans@brown.edu,1944-07-21,73,1,6,0,80,80,125,Randomly Generated - Demographics,0
16,Tammy,Wright,198 Lawrence Ln. New Bedford MA 01170,(401) 985-7785,TWright92@hotmail.com,1992-08-18,25,2,5,0,80,80,125,Randomly Generated - Demographics,0
17,Linda,Evans,178 Patel Blvd. North Kingstown RI 02880,(508) 321-1426,L_Evans7@gmail.com,1934-01-16,84,1,1,0,80,80,125,Randomly Generated - Demographics,0
18,Lisa,Lin,131 Worcester Blvd. Lynn MA 02215,(401) 517-7538,L_Lin76@aol.com,1976-07-30,41,1,4,0,80,80,125,Randomly Generated - Demographics,0
19,Barbera,Wright,245 Warwick Blvd. Foster RI 02826,(617) 606-9608,BWright@aol.com,1943-04-30,75,1,6,0,80,80,125,Randomly Generated - Demographics,0
20,Dorothy,Miller,37 Easton Rd. Coventry RI 02825,(508) 565-6652,D_Miller124@gmail.com,1930-02-13,88,2,1,0,80,80,125,Randomly Generated - Demographics,0
21,Sam,Taylor,251 Second St. Smithfield RI 02861,(401) 996-4712,SamTaylor62@msn.com,1962-03-13,56,1,1,1,80,80,125,Randomly Generated - Demographics,0
22,Arthur,Morgan,219 Lake St. Lynn MA 02049,(401) 608-2249,Arthur_Morgan11@msn.com,2011-01-06,7,1,4,1,81,81,10000,Randomly Generated - Demographics,0
